path,top_dir,ext,size_bytes,mtime_local,review_status,notes
libs/HP-Socket/.git/hooks/pre-receive.sample,libs,.sample,544,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/prepare-commit-msg.sample,libs,.sample,1492,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/push-to-checkout.sample,libs,.sample,2783,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/sendemail-validate.sample,libs,.sample,2308,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/hooks/update.sample,libs,.sample,3650,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/index,libs,<noext>,371704,2026-01-11 10:38:10,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/info/exclude,libs,<noext>,240,2026-01-11 10:37:54,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/logs/HEAD,libs,<noext>,191,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/logs/refs/heads/dev,libs,<noext>,191,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/logs/refs/remotes/origin/HEAD,libs,<noext>,191,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/objects/pack/pack-eac916d95282b4ecf532fe7b520a88c050027600.idx,libs,.idx,37892,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/objects/pack/pack-eac916d95282b4ecf532fe7b520a88c050027600.pack,libs,.pack,53793082,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/objects/pack/pack-eac916d95282b4ecf532fe7b520a88c050027600.rev,libs,.rev,5312,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/packed-refs,libs,<noext>,111,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/refs/heads/dev,libs,<noext>,41,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/refs/remotes/origin/HEAD,libs,<noext>,29,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/refs/tags/v6.0.7,libs,.7,41,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.git/shallow,libs,<noext>,41,2026-01-11 10:37:56,skip(third_party),HP-Socket third party
libs/HP-Socket/.gitattributes,libs,<noext>,2601,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/.gitignore,libs,<noext>,761,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/Doc/ARQ Sequence Diagram.jpg,libs,.jpg,146725,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/Doc/Basic Component - mini.jpg,libs,.jpg,159769,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/Doc/Example.c,libs,.c,1744,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/Doc/Example.cpp,libs,.cpp,1290,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/Doc/HP-Socket ARQ Class Diagram.jpg,libs,.jpg,216395,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/Doc/HP-Socket Class Diagram.jpg,libs,.jpg,1911945,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
libs/HP-Socket/Doc/HP-Socket Class Diagram.uml,libs,.uml,3120714,2026-01-11 10:38:07,skip(third_party),HP-Socket third party
